id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,dist_stop,ncult,age,since_renovated,m2_living,m2_lot,m2_above,m2_basement,m2_living15,m2_lot15
3904930530,20150414.0,350000.0,3.0,2.0,1.0,0.0,0.0,3.0,8.0,1988.0,0.0,98029.0,47.5753,-122.01700000000001,526.0,0.0,27.0,27.0,133.78032,508.086507,133.78032,0.0,183.94794,575.812794
624110110,20150222.0,1063000.0,5.0,4.5,2.0,0.0,0.0,4.0,11.0,1990.0,0.0,98077.0,47.7295,-122.057,2269.0,0.0,25.0,25.0,447.79246,1223.0679949999999,366.96685,80.82561,360.46364,1282.99043
871001484,20150115.0,719000.0,3.0,1.75,1.0,0.0,0.0,5.0,7.0,1947.0,0.0,98199.0,47.6529,-122.40700000000001,344.0,2.0,68.0,68.0,167.2254,540.323848,83.6127,83.6127,153.28995,540.323848
6021503656,20140902.0,375000.0,3.0,2.5,3.0,0.0,0.0,3.0,8.0,2004.0,0.0,98117.0,47.6835,-122.387,45.0,4.0,11.0,11.0,123.56099,98.848792,123.56099,0.0,123.56099,103.401039
9523103000,20141020.0,780000.0,3.0,1.75,1.5,0.0,0.0,4.0,7.0,1924.0,0.0,98103.0,47.674,-122.35,386.0,4.0,91.0,91.0,225.75429,420.29317199999997,170.01248999999999,55.7418,149.57383,380.9023
853200040,20150428.0,2408000.0,5.0,2.5,1.5,0.0,2.0,3.0,9.0,1918.0,2003.0,98004.0,47.62300000000001,-122.21799999999999,551.0,0.0,97.0,12.0,427.3538,2159.99475,334.4508,92.903,510.9665,1864.1915979999999
2028701075,20140716.0,626000.0,3.0,1.0,1.0,0.0,0.0,4.0,7.0,1924.0,0.0,98117.0,47.6768,-122.367,95.0,4.0,91.0,91.0,96.61912,393.90872,79.89658,16.72254,108.69651,393.90872
6752600320,20150514.0,360000.0,4.0,2.5,2.0,0.0,0.0,3.0,7.0,1994.0,0.0,98031.0,47.401,-122.171,467.0,0.0,21.0,21.0,187.66406,677.169967,187.66406,0.0,194.16727,674.382877
7511800070,20140821.0,264000.0,3.0,1.5,1.0,0.0,0.0,4.0,7.0,1962.0,0.0,98003.0,47.3366,-122.306,657.0,0.0,53.0,53.0,169.08346,985.515024,169.08346,0.0,128.20614,833.897328
7701990300,20140516.0,862500.0,4.0,2.75,2.0,0.0,0.0,3.0,10.0,1996.0,0.0,98077.0,47.7073,-122.07,1789.0,0.0,19.0,19.0,304.72184,2270.54932,304.72184,0.0,324.23147,2335.395614
7237501190,20141010.0,1780000.0,4.0,3.25,2.0,0.0,0.0,3.0,13.0,2004.0,0.0,98059.0,47.5303,-122.131,1686.0,0.0,11.0,11.0,454.29567,1245.086006,454.29567,0.0,537.90837,1257.813717
3885804305,20140911.0,949000.0,4.0,1.75,1.0,0.0,3.0,4.0,8.0,1958.0,0.0,98033.0,47.6851,-122.209,61.0,5.0,57.0,57.0,231.32847,727.802102,115.19972,116.12875,298.21863,727.802102
822059059,20150325.0,292500.0,2.0,1.0,1.0,0.0,0.0,4.0,5.0,1951.0,0.0,98031.0,47.4115,-122.197,34.0,0.0,64.0,64.0,81.75464,1648.377929,81.75464,0.0,113.062951,1207.739
8805400010,20150226.0,275500.0,3.0,1.0,1.0,0.0,0.0,4.0,6.0,1981.0,0.0,98056.0,47.4936,-122.165,104.0,0.0,34.0,34.0,98.47718,673.175138,98.47718,0.0,101.26427,621.892682
3886902590,20150226.0,470000.0,5.0,2.0,1.5,0.0,0.0,4.0,6.0,1920.0,0.0,98033.0,47.6831,-122.186,220.0,3.0,95.0,95.0,176.5157,557.418,176.5157,0.0,196.02533,780.3851999999999
9325200120,20140909.0,600600.0,4.0,3.5,2.0,0.0,0.0,3.0,8.0,2014.0,0.0,98148.0,47.4349,-122.32799999999999,353.0,0.0,1.0,1.0,288.92833,634.434587,288.92833,0.0,270.34773,689.804775
6804600260,20140603.0,420000.0,3.0,1.75,1.0,0.0,0.0,3.0,8.0,1981.0,0.0,98011.0,47.7601,-122.167,261.0,3.0,34.0,34.0,154.21898,891.8688,128.20614,26.01284,188.59309,882.5785
8127700132,20150326.0,1236300.0,5.0,3.5,2.0,0.0,0.0,3.0,10.0,2001.0,0.0,98199.0,47.6423,-122.39399999999999,109.0,3.0,14.0,14.0,295.43154,429.955084,224.82526,70.60628,191.38018,431.06992
3622059157,20141009.0,205000.0,4.0,1.75,1.5,0.0,0.0,4.0,7.0,1972.0,0.0,98042.0,47.3468,-122.11,1254.0,0.0,43.0,43.0,171.87055,6070.28202,171.87055,0.0,162.58025,3804.006238
